"model","FH","MAE","MAPE","RMSPE"
"brnn","1-steps",470.264262417243,0.0827034232302095,0.167734383379489
"cubist","1-steps",499.191300840939,0.0895169263805109,0.201366267789046
"svmRadial","1-steps",990.613608128828,0.150836367247126,0.632744440407593
"brnn","7-steps",1061.04995366865,0.177691160760024,0.318488171928497
"cubist","7-steps",1039.31002136072,0.175375359647939,0.288939709129881
"svmRadial","7-steps",1231.93148271495,0.184432869074146,0.653741876997851
"brnn","14-steps",1260.90143684988,0.206572388029822,0.337656805420973
"cubist","14-steps",1179.10313392387,0.193473064294741,0.307525935153461
"svmRadial","14-steps",1251.47218801114,0.188468986566303,0.655870849066322
