"model","FH","MAE","MAPE","RMSPE"
"brnn","1-steps",1012.07274955764,0.161637738648417,0.546466210709865
"cubist","1-steps",946.493274165135,0.158965312029257,0.478608649671537
"svmRadial","1-steps",1072.37242902152,0.164303972911482,0.706339534896046
"brnn","7-steps",1278.65207713976,0.190978212003172,0.759386622457056
"cubist","7-steps",1289.71357038909,0.193803987591731,0.776740075432539
"svmRadial","7-steps",1224.57966013102,0.191413437261101,0.702262520077235
"brnn","14-steps",1355.71026715095,0.210608824487131,0.761865604731994
"cubist","14-steps",1309.19027650123,0.19669901506626,0.776725102110819
"svmRadial","14-steps",1357.24043580768,0.216420795350913,0.706428516150695
